prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,64,8,32,38.422
16,64,8,64,39.0933
16,64,8,128,55.2857
16,64,8,256,73.366
16,64,8,512,108.364
16,64,8,1024,179.938
16,64,8,2048,322.585
16,64,8,4096,632.455
16,64,8,8192,631.538
16,64,16,16,53.8987
16,64,16,32,54.3473
16,64,16,64,55.9043
16,64,16,128,88.5347
16,64,16,256,124.684
16,64,16,512,196.109
16,64,16,1024,341.23
16,64,16,2048,629.223
16,64,16,4096,1249.04
16,64,16,8192,1249.1
16,64,32,16,99.521
16,64,32,32,100.556
16,64,32,64,102.497
16,64,32,128,168.237
16,64,32,256,240.366
16,64,32,512,384.048
16,64,32,1024,675.219
16,64,32,2048,1247
16,64,32,4096,2488.63
16,64,32,8192,2486.26
16,64,64,16,184.29
16,64,64,32,186.306
16,64,64,64,190.829
16,64,64,128,320.879
16,64,64,256,463.61
16,64,64,512,752.201
16,64,64,1024,1328.26
16,64,64,2048,2477.54
16,64,64,4096,4947.49
16,64,64,8192,4952.74
16,64,128,16,360.122
16,64,128,32,364.569
16,64,128,64,374.927
16,64,128,128,646.685
16,64,128,256,931.329
16,64,128,512,1496.13
16,64,128,1024,2635.62
16,64,128,2048,4947.38
16,64,128,4096,9953.05
16,64,128,8192,9969.48
16,128,0,0,20.641
16,128,1,16,19.915
16,128,1,32,19.883
16,128,1,64,19.9253
16,128,1,128,20.651
16,128,1,256,25.7387
16,128,1,512,37.526
16,128,1,1024,61.5473
16,128,1,2048,109.303
16,128,1,4096,213.101
16,128,1,8192,213.538
16,128,2,16,28.7473
16,128,2,32,28.6827
16,128,2,64,28.9177
16,128,2,128,34.176
16,128,2,256,40.822
16,128,2,512,52.5447
16,128,2,1024,76.182
16,128,2,2048,123.67
16,128,2,4096,226.477
16,128,2,8192,226.52
16,128,4,16,28.9603
16,128,4,32,28.9927
16,128,4,64,29.387
16,128,4,128,34.7947
16,128,4,256,45.4933
16,128,4,512,69.3873
16,128,4,1024,116.812
16,128,4,2048,212.525
16,128,4,4096,421.53
16,128,4,8192,421.476
16,128,8,16,43.7127
16,128,8,32,43.8933
16,128,8,64,44.459
16,128,8,128,61.3343
16,128,8,256,79.0947
16,128,8,512,114.241
16,128,8,1024,185.88
16,128,8,2048,329.689
16,128,8,4096,637.714
16,128,8,8192,638.728
16,128,16,16,64.3427
16,128,16,32,64.7157
16,128,16,64,65.398
16,128,16,128,89.6013
16,128,16,256,125.217
16,128,16,512,196.098
16,128,16,1024,341.455
16,128,16,2048,630.067
16,128,16,4096,1252.15
16,128,16,8192,1249.92
16,128,32,16,104.716
16,128,32,32,105.591
16,128,32,64,107.425
16,128,32,128,170.157
16,128,32,256,240.11
16,128,32,512,384.186
16,128,32,1024,675.464
16,128,32,2048,1248.16
16,128,32,4096,2488.48
16,128,32,8192,2486.92
16,128,64,16,189.218
16,128,64,32,191.128
16,128,64,64,195.245
16,128,64,128,322.297
16,128,64,256,466.054
16,128,64,512,751.561
16,128,64,1024,1328.53
16,128,64,2048,2476.88
16,128,64,4096,4953.11
16,128,64,8192,4958.15
16,128,128,16,361.135
16,128,128,32,365.744
16,128,128,64,375.877
16,128,128,128,649.939
16,128,128,256,931.468
16,128,128,512,1496.47
16,128,128,1024,2636.81
16,128,128,2048,4939.64
16,128,128,4096,9946.34
16,128,128,8192,9955.44
16,256,0,0,26.6033
16,256,1,16,25.7813
16,256,1,32,25.813
16,256,1,64,25.7923
16,256,1,128,25.8357
16,256,1,256,26.6987
16,256,1,512,37.579
16,256,1,1024,61.537
16,256,1,2048,109.345
16,256,1,4096,213.08
16,256,1,8192,213.41
16,256,2,16,34.4427
16,256,2,32,34.571
16,256,2,64,34.6673
16,256,2,128,40.4803
16,256,2,256,46.219
16,256,2,512,58.518
16,256,2,1024,82.2307
16,256,2,2048,130.209
16,256,2,4096,233.817
16,256,2,8192,234.072
16,256,4,16,34.891
16,256,4,32,35.0407
16,256,4,64,35.297
16,256,4,128,41.11
16,256,4,256,47.4563
16,256,4,512,69.2913
16,256,4,1024,116.812
16,256,4,2048,212.173
16,256,4,4096,421.307
16,256,4,8192,421.157
16,256,8,16,49.8247
16,256,8,32,50.038
16,256,8,64,50.6673
16,256,8,128,67.137
16,256,8,256,85.3027
16,256,8,512,120.577
16,256,8,1024,191.576
16,256,8,2048,334.639
16,256,8,4096,643.997
16,256,8,8192,644.648
16,256,16,16,72.321
16,256,16,32,72.7903
16,256,16,64,73.601
16,256,16,128,99.6173
16,256,16,256,126.135
16,256,16,512,196.291
16,256,16,1024,340.377
16,256,16,2048,628.509
16,256,16,4096,1251.9
16,256,16,8192,1254.95
16,256,32,16,111.127
16,256,32,32,112.172
16,256,32,64,114.017
16,256,32,128,174.584
16,256,32,256,242.52
16,256,32,512,383.525
16,256,32,1024,675.497
16,256,32,2048,1250
16,256,32,4096,2491.74
16,256,32,8192,2490.22
16,256,64,16,194.328
16,256,64,32,196.29
16,256,64,64,199.96
16,256,64,128,327.492
16,256,64,256,467.761
16,256,64,512,753.44
16,256,64,1024,1327.77
16,256,64,2048,2478.18
16,256,64,4096,4961.71
16,256,64,8192,4958.79
16,256,128,16,364.464
16,256,128,32,368.986
16,256,128,64,378.843
16,256,128,128,652.446
16,256,128,256,934.978
16,256,128,512,1497.75
16,256,128,1024,2636.58
16,256,128,2048,4948.71
16,256,128,4096,9962.9
16,256,128,8192,9970.51
16,512,0,0,38.3787
16,512,1,16,37.6427
16,512,1,32,37.59
16,512,1,64,37.6643
16,512,1,128,37.6
16,512,1,256,37.654
16,512,1,512,38.3903
16,512,1,1024,61.5903
16,512,1,2048,109.292
16,512,1,4096,213.518
16,512,1,8192,214.136
16,512,2,16,46.3253
16,512,2,32,46.2297
16,512,2,64,46.5927
16,512,2,128,52.0653
16,512,2,256,57.985
16,512,2,512,69.676
16,512,2,1024,94.092
16,512,2,2048,141.506
16,512,2,4096,246.403
16,512,2,8192,245.283
16,512,4,16,46.5173
16,512,4,32,46.9023
16,512,4,64,47.467
16,512,4,128,52.5767
16,512,4,256,58.9447
16,512,4,512,70.998
16,512,4,1024,116.866
16,512,4,2048,212.088
16,512,4,4096,421.563
16,512,4,8192,421.029
16,512,8,16,61.569
16,512,8,32,61.9633
16,512,8,64,62.7207
16,512,8,128,78.9453
16,512,8,256,96.513
16,512,8,512,132.119
16,512,8,1024,203.822
16,512,8,2048,346.34
16,512,8,4096,657.567
16,512,8,8192,657.032
16,512,16,16,84.5023
16,512,16,32,85.2383
16,512,16,64,85.953
16,512,16,128,118.807
16,512,16,256,146.85
16,512,16,512,197.666
16,512,16,1024,339.631
16,512,16,2048,629.736
16,512,16,4096,1251.39
16,512,16,8192,1252
16,512,32,16,129.217
16,512,32,32,130.242
16,512,32,64,131.905
16,512,32,128,187.447
16,512,32,256,252.44
16,512,32,512,384.826
16,512,32,1024,673.342
16,512,32,2048,1250.55
16,512,32,4096,2497.3
16,512,32,8192,2497.77
16,512,64,16,207.395
16,512,64,32,208.451
16,512,64,64,212.771
16,512,64,128,336.528
16,512,64,256,478.695
16,512,64,512,756.362
16,512,64,1024,1327.77
16,512,64,2048,2480.93
16,512,64,4096,4964.03
16,512,64,8192,4962.41
16,512,128,16,375.569
16,512,128,32,380.016
16,512,128,64,390.619
16,512,128,128,656.777
16,512,128,256,939.352
16,512,128,512,1501.88
16,512,128,1024,2638.28
16,512,128,2048,4941
16,512,128,4096,9961.6
16,512,128,8192,9969.11
16,1024,0,0,62.2733
16,1024,1,16,61.495
16,1024,1,32,61.5583
16,1024,1,64,61.515
16,1024,1,128,61.5797
16,1024,1,256,61.494
16,1024,1,512,61.6757
16,1024,1,1024,62.358
16,1024,1,2048,109.421
16,1024,1,4096,213.091
16,1024,1,8192,213.582
16,1024,2,16,69.7927
16,1024,2,32,69.7927
16,1024,2,64,70.1773
16,1024,2,128,75.2863
16,1024,2,256,81.494
16,1024,2,512,93.3987
16,1024,2,1024,116.994
16,1024,2,2048,164.995
16,1024,2,4096,270.415
