pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.051,1
16,n<=32,sr<=70%,kvB<=4k,kp<=512,0.0528,1
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.0703,1
16,n<=32,sr<=70%,kvB<=4k,kp=0,0.0472,1
16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.3558,2
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.4638,2
16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.506,2
16,n<=32,sr>70%,kvB<=1k,kp=0,0.4242,2
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.2888,2
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.204,2
16,n<=32,sr>70%,kvB<=4k,kp<=8k,0.2633,2
16,n<=32,sr>70%,kvB<=4k,kp=0,0.1516,2
16,n<=32,sr>70%,kvB<=8k,kp<=512,-55.064,2
16,n<=32,sr>70%,kvB<=8k,kp=0,-74.1693,1
16,n<=8,sr<=15%,kvB<=1k,kp<=2k,0.0596,1
16,n<=8,sr<=15%,kvB<=1k,kp<=512,0.0346,1
16,n<=8,sr<=15%,kvB<=1k,kp<=8k,0.0535,1
16,n<=8,sr<=15%,kvB<=1k,kp=0,0.3676,4
16,n<=8,sr<=15%,kvB<=4k,kp<=2k,0.053,1
16,n<=8,sr<=15%,kvB<=4k,kp<=512,0.2629,1
16,n<=8,sr<=15%,kvB<=4k,kp<=8k,0.0598,1
16,n<=8,sr<=15%,kvB<=4k,kp=0,0.3398,2
16,n<=8,sr<=15%,kvB<=8k,kp<=2k,0.0164,1
16,n<=8,sr<=15%,kvB<=8k,kp<=512,0.173,1
16,n<=8,sr<=15%,kvB<=8k,kp<=8k,-0.6152,1
16,n<=8,sr<=15%,kvB<=8k,kp=0,0.0416,1
16,n<=8,sr<=40%,kvB<=1k,kp<=2k,0.1478,2
16,n<=8,sr<=40%,kvB<=1k,kp<=512,0.0121,2
16,n<=8,sr<=40%,kvB<=1k,kp<=8k,0.1281,2
16,n<=8,sr<=40%,kvB<=1k,kp=0,0.3596,2
16,n<=8,sr<=40%,kvB<=4k,kp<=2k,-0.0767,2
16,n<=8,sr<=40%,kvB<=4k,kp<=512,0.2797,2
16,n<=8,sr<=40%,kvB<=4k,kp<=8k,-0.0516,2
16,n<=8,sr<=40%,kvB<=4k,kp=0,0.3538,2
16,n<=8,sr<=40%,kvB<=8k,kp<=2k,-1.0753,1
16,n<=8,sr<=40%,kvB<=8k,kp<=512,-0.3286,1
16,n<=8,sr<=40%,kvB<=8k,kp<=8k,-3.0503,1
16,n<=8,sr<=40%,kvB<=8k,kp=0,-0.0995,1
16,n<=8,sr<=70%,kvB<=1k,kp<=2k,0.0527,1
16,n<=8,sr<=70%,kvB<=1k,kp<=512,0.035,1
16,n<=8,sr<=70%,kvB<=1k,kp<=8k,0.0524,1
16,n<=8,sr<=70%,kvB<=1k,kp=0,0.4851,3
16,n<=8,sr<=70%,kvB<=4k,kp<=2k,-0.3172,1
16,n<=8,sr<=70%,kvB<=4k,kp<=512,0.2453,1
16,n<=8,sr<=70%,kvB<=4k,kp<=8k,-0.0605,1
16,n<=8,sr<=70%,kvB<=4k,kp=0,0.2663,1
16,n<=8,sr<=70%,kvB<=8k,kp=0,-530.3266,1
16,n<=8,sr>70%,kvB<=1k,kp<=2k,0.3909,2
16,n<=8,sr>70%,kvB<=1k,kp<=512,-0.4695,2
16,n<=8,sr>70%,kvB<=1k,kp<=8k,0.3939,2
16,n<=8,sr>70%,kvB<=1k,kp=0,0.5887,2
16,n<=8,sr>70%,kvB<=4k,kp<=2k,-0.9685,2
16,n<=8,sr>70%,kvB<=4k,kp<=512,0.3282,2
16,n<=8,sr>70%,kvB<=4k,kp<=8k,-0.3139,2
16,n<=8,sr>70%,kvB<=4k,kp=0,0.8292,2
16,n<=8,sr>70%,kvB<=8k,kp<=2k,-56.2482,2
16,n<=8,sr>70%,kvB<=8k,kp<=8k,-198.8002,1
16,n<=8,sr>70%,kvB<=8k,kp=0,-0.9697,1
64,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0876,2
64,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0775,2
64,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0822,2
64,n<=128,sr<=15%,kvB<=1k,kp=0,0.0758,2
64,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0428,2
64,n<=128,sr<=15%,kvB<=4k,kp<=512,0.044,2
64,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0452,2
64,n<=128,sr<=15%,kvB<=4k,kp=0,0.0431,2
64,n<=128,sr<=15%,kvB<=8k,kp<=2k,-0.1819,2
64,n<=128,sr<=15%,kvB<=8k,kp<=512,-0.189,2
64,n<=128,sr<=15%,kvB<=8k,kp<=8k,-0.2492,2
64,n<=128,sr<=15%,kvB<=8k,kp=0,-0.193,2
64,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.2306,1
64,n<=128,sr<=40%,kvB<=1k,kp<=512,0.2152,1
64,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.2296,1
64,n<=128,sr<=40%,kvB<=1k,kp=0,0.2138,1
64,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0042,1
64,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0048,1
64,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.0028,1
64,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0082,1
64,n<=128,sr<=40%,kvB<=8k,kp<=2k,-1.4002,1
64,n<=128,sr<=40%,kvB<=8k,kp<=512,-1.4301,1
64,n<=128,sr<=40%,kvB<=8k,kp<=8k,-1.9846,1
64,n<=128,sr<=40%,kvB<=8k,kp=0,-1.4329,1
64,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0193,4
64,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0047,4
