regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,8,1,0.125,4.0,1024,0,128,512,176,807.862,942.97,821.911,0.104
mixed,8,1,0.125,4.0,1024,0,512,2048,704,1002.075,1729.805,1280.483,0.3826
mixed,8,1,0.125,4.0,1024,0,2048,8192,2816,2120.537,2844.043,2341.183,0.305
mixed,8,1,0.125,4.0,1024,512,128,512,176,1277.537,1421.224,1294.404,0.1174
mixed,8,1,0.125,4.0,1024,512,512,2048,704,1484.937,2135.545,1628.237,0.2203
mixed,8,1,0.125,4.0,1024,512,2048,8192,2816,2534.95,3323.066,2738.408,0.2582
mixed,8,1,0.125,4.0,1024,2048,128,512,176,2558.34,2799.433,2587.013,0.1189
mixed,8,1,0.125,4.0,1024,2048,512,2048,704,2900.012,3393.05,2885.326,-0.0298
mixed,8,1,0.125,4.0,1024,2048,2048,8192,2816,3769.638,4524.407,3878.504,0.1442
mixed,8,1,0.125,4.0,1024,8192,128,512,176,3736.548,3946.665,3770.212,0.1602
mixed,8,1,0.125,4.0,1024,8192,512,2048,704,4052.779,4766.976,4096.461,0.0612
mixed,8,1,0.125,4.0,1024,8192,2048,8192,2816,4895.971,5947.934,4779.1,-0.1111
mixed,8,1,0.125,4.0,4096,0,128,512,176,7705.772,7844.917,7716.267,0.0754
mixed,8,1,0.125,4.0,4096,0,512,2048,704,7920.019,8446.208,7922.258,0.0043
mixed,8,1,0.125,4.0,4096,0,2048,8192,2816,8721.894,9348.09,8576.324,-0.2325
mixed,8,1,0.125,4.0,4096,512,128,512,176,9191.253,9345.656,9206.516,0.0989
mixed,8,1,0.125,4.0,4096,512,512,2048,704,9407.928,9902.983,9417.209,0.0187
mixed,8,1,0.125,4.0,4096,512,2048,8192,2816,10243.251,10873.537,10026.697,-0.3436
mixed,8,1,0.125,4.0,4096,2048,128,512,176,12548.555,12661.613,12555.115,0.058
mixed,8,1,0.125,4.0,4096,2048,512,2048,704,12729.393,13133.117,12721.107,-0.0205
mixed,8,1,0.125,4.0,4096,2048,2048,8192,2816,13391.265,13994.357,13235.042,-0.259
mixed,8,1,0.125,4.0,4096,8192,128,512,176,14211.673,14207.476,14208.412,
mixed,8,1,0.125,4.0,4096,8192,512,2048,704,14213.241,15048.714,14215.001,0.0021
mixed,8,1,0.125,4.0,4096,8192,2048,8192,2816,15262.995,15760.035,15055.985,-0.4165
pure,8,2,0.25,4.0,0,0,128,512,224,181.285,356.009,247.687,0.38
pure,8,2,0.25,4.0,0,0,512,2048,896,567.311,1202.144,773.939,0.3255
pure,8,2,0.25,4.0,0,0,2048,8192,3584,2046.231,2372.8,1798.928,-0.7573
mixed,8,2,0.25,4.0,16,0,128,512,224,177.254,351.209,242.694,0.3762
