pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr<=5%,kvB<=32k,kp=0,0.0628,4
16,n<=128,sr<=5%,kvB<=4k,kp<=20k,-0.0077,4
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.048,4
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.047,4
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0006,4
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0397,4
16,n<=128,sr<=70%,kvB<=16k,kp<=20k,0.3677,1
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,-0.0003,1
16,n<=128,sr<=70%,kvB<=16k,kp<=512,0.0002,1
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,0.8684,1
16,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0098,1
16,n<=128,sr<=70%,kvB<=1k,kp<=20k,0.627,1
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.8173,1
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.1896,1
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.7392,1
16,n<=128,sr<=70%,kvB<=1k,kp=0,1.2461,1
16,n<=128,sr<=70%,kvB<=32k,kp<=20k,-0.0009,1
16,n<=128,sr<=70%,kvB<=32k,kp<=2k,0.002,1
16,n<=128,sr<=70%,kvB<=32k,kp<=512,-0.0043,1
16,n<=128,sr<=70%,kvB<=32k,kp<=8k,-0.0019,1
16,n<=128,sr<=70%,kvB<=32k,kp=0,-0.0018,1
16,n<=128,sr<=70%,kvB<=4k,kp<=20k,0.7599,1
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0141,1
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0166,1
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.6727,1
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0154,1
16,n<=128,sr>70%,kvB<=16k,kp<=20k,0.3564,2
16,n<=128,sr>70%,kvB<=16k,kp<=2k,0.1383,2
16,n<=128,sr>70%,kvB<=16k,kp<=512,0.1467,2
16,n<=128,sr>70%,kvB<=16k,kp<=8k,0.1228,2
16,n<=128,sr>70%,kvB<=16k,kp=0,0.1549,2
16,n<=128,sr>70%,kvB<=1k,kp<=20k,0.7403,2
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.9464,2
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.5432,2
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.7675,2
16,n<=128,sr>70%,kvB<=1k,kp=0,0.5091,2
16,n<=128,sr>70%,kvB<=32k,kp<=20k,0.1662,2
16,n<=128,sr>70%,kvB<=32k,kp<=2k,0.1666,2
16,n<=128,sr>70%,kvB<=32k,kp<=512,0.1559,2
16,n<=128,sr>70%,kvB<=32k,kp<=8k,0.1455,2
16,n<=128,sr>70%,kvB<=32k,kp=0,0.1606,2
16,n<=128,sr>70%,kvB<=4k,kp<=20k,0.7264,2
16,n<=128,sr>70%,kvB<=4k,kp<=2k,0.2478,2
16,n<=128,sr>70%,kvB<=4k,kp<=512,0.2226,2
16,n<=128,sr>70%,kvB<=4k,kp<=8k,0.685,2
16,n<=128,sr>70%,kvB<=4k,kp=0,0.257,2
16,n<=2,sr<=70%,kvB<=16k,kp<=20k,0.6667,1
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.9879,1
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.9795,1
16,n<=2,sr<=70%,kvB<=16k,kp=0,0.9844,1
16,n<=2,sr<=70%,kvB<=1k,kp<=20k,1.0672,1
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,0.4974,1
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.4185,1
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.1688,1
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.9829,1
16,n<=2,sr<=70%,kvB<=32k,kp<=20k,0.9939,1
16,n<=2,sr<=70%,kvB<=32k,kp<=2k,0.9842,1
16,n<=2,sr<=70%,kvB<=32k,kp<=512,0.9946,1
16,n<=2,sr<=70%,kvB<=32k,kp<=8k,0.9912,1
16,n<=2,sr<=70%,kvB<=32k,kp=0,1.0005,1
16,n<=2,sr<=70%,kvB<=4k,kp<=20k,-0.178,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.9785,1
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.9728,1
16,n<=32,sr<=15%,kvB<=16k,kp<=20k,0.1113,3
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.9954,3
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.9962,3
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.5319,3
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.9948,3
16,n<=32,sr<=15%,kvB<=1k,kp<=20k,0.0001,2
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.2573,3
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.1704,3
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.1722,3
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.9505,6
16,n<=32,sr<=15%,kvB<=32k,kp<=20k,0.9924,3
16,n<=32,sr<=15%,kvB<=32k,kp<=2k,0.9955,3
16,n<=32,sr<=15%,kvB<=32k,kp<=512,0.9949,3
16,n<=32,sr<=15%,kvB<=32k,kp<=8k,0.9964,3
16,n<=32,sr<=15%,kvB<=32k,kp=0,0.9959,3
16,n<=32,sr<=15%,kvB<=4k,kp<=20k,0.1408,3
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.5991,3
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.989,3
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.5762,3
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.9862,4
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.9974,1
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.9962,1
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.3966,1
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.9969,1
