regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,8,1,0.125,4.0,1024,2048,2048,8192,2816,459.754,1203.707,1194.875,0.9881
mixed,8,1,0.125,4.0,1024,2048,8192,32768,11264,1636.261,4651.177,4635.496,0.9948
mixed,8,1,0.125,4.0,1024,8192,128,512,176,1303.007,1303.805,1301.597,-1.7669
mixed,8,1,0.125,4.0,1024,8192,512,2048,704,1300.444,1303.677,1302.814,0.7331
mixed,8,1,0.125,4.0,1024,8192,2048,8192,2816,1301.758,1307.995,1305.309,0.5693
mixed,8,1,0.125,4.0,1024,8192,8192,32768,11264,1634.276,4656.486,4646.056,0.9965
mixed,8,1,0.125,4.0,1024,20480,128,512,176,3000.801,2997.409,2992.384,
mixed,8,1,0.125,4.0,1024,20480,512,2048,704,3005.86,3004.869,2999.684,
mixed,8,1,0.125,4.0,1024,20480,2048,8192,2816,2997.121,3000.258,2998.242,0.3573
mixed,8,1,0.125,4.0,1024,20480,8192,32768,11264,3005.283,4657.383,4647.718,0.9941
mixed,8,1,0.125,4.0,4096,0,128,512,176,980.213,982.486,979.859,-0.1557
mixed,8,1,0.125,4.0,4096,0,512,2048,704,983.255,1021.685,983.54,0.0074
mixed,8,1,0.125,4.0,4096,0,2048,8192,2816,1030.903,1751.015,1619.621,0.8175
mixed,8,1,0.125,4.0,4096,0,8192,32768,11264,2185.807,5207.858,5031.697,0.9417
mixed,8,1,0.125,4.0,4096,512,128,512,176,1140.825,1162.906,1141.051,0.0102
mixed,8,1,0.125,4.0,4096,512,512,2048,704,1160.187,1172.568,1157.208,-0.2406
mixed,8,1,0.125,4.0,4096,512,2048,8192,2816,1202.108,1861.42,1719.91,0.7854
mixed,8,1,0.125,4.0,4096,512,8192,32768,11264,2293.298,5313.364,5151.601,0.9464
mixed,8,1,0.125,4.0,4096,2048,128,512,176,1625.189,1639.142,1623.555,-0.1171
mixed,8,1,0.125,4.0,4096,2048,512,2048,704,1638.95,1652.9,1646.563,0.5457
mixed,8,1,0.125,4.0,4096,2048,2048,8192,2816,1686.948,2167.472,1998.027,0.6474
mixed,8,1,0.125,4.0,4096,2048,8192,32768,11264,2597.946,5614.11,5472.763,0.9531
mixed,8,1,0.125,4.0,4096,8192,128,512,176,3359.819,3355.177,3353.898,
mixed,8,1,0.125,4.0,4096,8192,512,2048,704,3359.947,3383.307,3365.312,0.2297
mixed,8,1,0.125,4.0,4096,8192,2048,8192,2816,3384.877,3712.178,3385.706,0.0025
mixed,8,1,0.125,4.0,4096,8192,8192,32768,11264,4191.709,7278.308,7063.775,0.9305
mixed,8,1,0.125,4.0,4096,20480,128,512,176,6713.136,6713.462,6713.362,0.6933
mixed,8,1,0.125,4.0,4096,20480,512,2048,704,6714.935,6742.999,6717.43,0.0889
mixed,8,1,0.125,4.0,4096,20480,2048,8192,2816,6740.856,6744.499,6745.073,1.1576
mixed,8,1,0.125,4.0,4096,20480,8192,32768,11264,6990.397,10572.297,8084.016,0.3053
mixed,8,1,0.125,4.0,16384,0,128,512,176,9898.199,9902.939,9893.561,-0.9785
mixed,8,1,0.125,4.0,16384,0,512,2048,704,9895.034,9961.183,9898.269,0.0489
mixed,8,1,0.125,4.0,16384,0,2048,8192,2816,10007.902,10031.551,10011.839,0.1665
mixed,8,1,0.125,4.0,16384,0,8192,32768,11264,10140.609,13296.262,12542.735,0.7612
mixed,8,1,0.125,4.0,16384,512,128,512,176,10482.728,10490.404,10487.429,0.6124
mixed,8,1,0.125,4.0,16384,512,512,2048,704,10483.333,10536.394,10489.959,0.1249
mixed,8,1,0.125,4.0,16384,512,2048,8192,2816,10537.705,10608.811,10529.607,-0.1139
mixed,8,1,0.125,4.0,16384,512,8192,32768,11264,10666.123,13786.669,13030.401,0.7576
mixed,8,1,0.125,4.0,16384,2048,128,512,176,12182.316,12187.019,12179.081,-0.6879
mixed,8,1,0.125,4.0,16384,2048,512,2048,704,12190.857,12217.999,12205.042,0.5226
mixed,8,1,0.125,4.0,16384,2048,2048,8192,2816,12207.726,12238.352,12211.982,0.139
mixed,8,1,0.125,4.0,16384,2048,8192,32768,11264,12317.486,15406.038,14473.791,0.6982
mixed,8,1,0.125,4.0,16384,8192,128,512,176,18851.745,18840.833,18855.301,
mixed,8,1,0.125,4.0,16384,8192,512,2048,704,18868.511,18855.455,18854.305,
mixed,8,1,0.125,4.0,16384,8192,2048,8192,2816,18848.922,19191.937,18899.263,0.1468
mixed,8,1,0.125,4.0,16384,8192,8192,32768,11264,19201.157,21434.58,20509.605,0.5858
mixed,8,1,0.125,4.0,16384,20480,128,512,176,32316.324,32307.951,32295.022,
mixed,8,1,0.125,4.0,16384,20480,512,2048,704,32304.593,32290.859,32308.844,
mixed,8,1,0.125,4.0,16384,20480,2048,8192,2816,32288.396,32647.691,32322.54,0.095
mixed,8,1,0.125,4.0,16384,20480,8192,32768,11264,32605.548,33231.927,32629.671,0.0385
mixed,8,1,0.125,4.0,32768,0,128,512,176,36631.093,32207.617,31792.513,
mixed,8,1,0.125,4.0,32768,0,512,2048,704,31767.676,31788.413,31733.592,-1.6436
mixed,8,1,0.125,4.0,32768,0,2048,8192,2816,32071.833,32193.07,32079.941,0.0669
mixed,8,1,0.125,4.0,32768,0,8192,32768,11264,32230.824,33555.75,32383.593,0.1153
mixed,8,1,0.125,4.0,32768,512,128,512,176,33015.004,32981.814,33040.226,
mixed,8,1,0.125,4.0,32768,512,512,2048,704,32975.829,33024.341,33030.328,1.1234
mixed,8,1,0.125,4.0,32768,512,2048,8192,2816,33016.764,33132.73,32979.322,-0.3229
mixed,8,1,0.125,4.0,32768,512,8192,32768,11264,33165.429,34502.364,33308.545,0.107
mixed,8,1,0.125,4.0,32768,2048,128,512,176,35900.286,35872.568,35889.379,
mixed,8,1,0.125,4.0,32768,2048,512,2048,704,35909.27,35867.736,35894.972,
mixed,8,1,0.125,4.0,32768,2048,2048,8192,2816,35850.747,35901.66,35869.276,0.3639
mixed,8,1,0.125,4.0,32768,2048,8192,32768,11264,36026.046,37181.783,36041.627,0.0135
pure,8,2,0.25,4.0,0,0,128,512,224,50.21,54.944,59.489,1.9601
pure,8,2,0.25,4.0,0,0,512,2048,896,68.065,109.219,80.899,0.3119
pure,8,2,0.25,4.0,0,0,2048,8192,3584,149.987,236.07,144.194,-0.0673
pure,8,2,0.25,4.0,0,0,8192,32768,14336,378.759,750.417,407.433,0.0772
mixed,8,2,0.25,4.0,16,0,128,512,224,57.922,108.771,108.705,0.9987
mixed,8,2,0.25,4.0,16,0,512,2048,896,163.461,327.367,326.246,0.9932
mixed,8,2,0.25,4.0,16,0,2048,8192,3584,544.202,1192.315,1191.257,0.9984
mixed,8,2,0.25,4.0,16,0,8192,32768,14336,2055.694,4647.141,4644.23,0.9989
mixed,8,2,0.25,4.0,16,512,128,512,224,109.57,110.083,109.506,-0.1248
mixed,8,2,0.25,4.0,16,512,512,2048,896,164.131,326.502,326.249,0.9984
mixed,8,2,0.25,4.0,16,512,2048,8192,3584,543.468,1192.058,1190.939,0.9983
mixed,8,2,0.25,4.0,16,512,8192,32768,14336,2056.878,4647.302,4644.228,0.9988
mixed,8,2,0.25,4.0,16,2048,128,512,224,325.798,326.983,327.015,1.027
mixed,8,2,0.25,4.0,16,2048,512,2048,896,327.398,327.752,327.784,1.0904
mixed,8,2,0.25,4.0,16,2048,2048,8192,3584,543.404,1191.611,1190.876,0.9989
mixed,8,2,0.25,4.0,16,2048,8192,32768,14336,2054.348,4649.127,4643.879,0.998
mixed,8,2,0.25,4.0,16,8192,128,512,224,1191.452,1192.187,1192.539,1.4789
mixed,8,2,0.25,4.0,16,8192,512,2048,896,1192.923,1193.628,1193.21,0.4071
mixed,8,2,0.25,4.0,16,8192,2048,8192,3584,1193.563,1193.753,1193.338,-1.1842
